time,node,obs,obs_st
14,5,I,1
14,7,I,1
14,8,I,1
14,9,I,1
14,12,I,1
14,17,I,1
14,24,I,1
14,27,I,1
14,31,I,1
14,34,I,1
14,36,I,1
14,40,I,1
14,44,I,1
14,45,I,1
14,48,I,1
14,49,I,1
14,53,I,1
14,66,I,1
14,68,I,1
14,69,I,1
14,70,I,1
14,80,I,1
14,83,I,1
14,84,I,1
14,90,I,1
14,91,I,1
14,95,I,1
14,101,I,1
14,102,I,1
14,108,I,1
14,110,I,1
14,121,I,1
14,126,I,1
14,131,I,1
14,133,I,1
14,134,I,1
14,135,I,1
14,137,I,1
14,138,I,1
14,139,I,1
14,140,I,1
14,142,I,1
14,144,I,1
14,149,I,1
14,150,I,1
14,151,I,1
14,153,I,1
14,155,I,1
14,156,I,1
14,157,I,1
14,160,I,1
14,170,I,1
14,172,I,1
14,182,I,1
14,183,I,1
14,186,I,1
14,187,I,1
14,192,I,1
14,195,I,1
14,198,I,1
14,199,I,1
14,202,I,1
14,205,I,1
14,208,I,1
14,209,I,1
14,213,I,1
14,217,I,1
14,219,I,1
14,225,I,1
14,227,I,1
14,229,I,1
14,235,I,1
14,244,I,1
14,246,I,1
14,247,I,1
14,249,I,1
14,250,I,1
14,252,I,1
14,253,I,1
14,255,I,1
14,259,I,1
14,263,I,1
14,264,I,1
14,269,I,1
14,272,I,1
14,273,I,1
14,277,I,1
14,281,I,1
14,283,I,1
14,284,I,1
14,286,I,1
14,289,I,1
14,292,I,1
14,297,I,1
14,299,I,1
14,301,I,1
14,304,I,1
14,305,I,1
14,308,I,1
14,312,I,1
14,314,I,1
14,319,I,1
14,320,I,1
14,325,I,1
14,326,I,1
